PC NO, DecimalNumber      , Material     , Name             , PART NAME                                                       , QTY, 
1, MAM2023.000.000.001, PET Plastic, Current Collector, CURRENT COLLECTOR_STEP, 1, 
2, MAM2023.000.000.002, Aluminum_7075, Leg, LAPKA_80_DOUBLE V3_STEP, 1, 
3, MAM2023.000.000.005, Motor, MX-28T, MX-28T_R V1_STEP, 1, 
4, MAM2023.000.000.003, Aluminum_7075, Pipka, PIPKA_STEP, 4, 
5, MAM2023.000.000.004, Aluminum_7075, Spacer with hole, SPACER WITH A HOLE_STEP, 1, 
6, MAM2023.000.001.001, Aluminum_7075, Shaft, SHAFT, 1, 
7, MAM2023.000.001.000, PET Plastic, Shaft box, SHAFT_BOX, 1, 
8, MAM2023.000.000.008, Aluminum_7075, Bearing, BEARING, 2, 
9, MAM2023.000.000.009, Aluminum_7075, Disk, DISK_STEP, 1, 
10, MAM2023.000.000.010, Aluminum_7075, Plate, PLATE, 1, 
11, MAM2023.000.000.011, Aluminum_7075, Spacer, SPACER, 1, 
12, MAM2023.000.000.012, PET Plastic, Shaft cap, SHAFT_CAP, 1, 
13, MAM2023.000.000.013, Aluminum_6061, Leg Disk, DISK_LAPKA, 1, 
14, MAM2023.000.000.014, Steel, DIN912, 91294A126_BLACK-OXIDE ALLOY STEEL HEX DRIVE FLAT HEAD SCREW_STEP, 16, 
15, MAM2023.000.000.015, Steel, DIN7991, 91290A023_ALLOY STEEL SOCKET HEAD SCREW_STEP, 11, 
